UserCreated;{"id": "bdc9eaa6-bdfd-44d8-914d-7aac460e6e92","firstname": "Scott","surname": "Morales","email": "scott.morales@google.com","birthdate": "1963-01-23","city": "Gembloux"}
UserCreated;{"id": "6237c5e1-4654-4d9d-8e04-f3af3cc97492","firstname": "John","surname": "Watson","email": "john.watson@google.com","birthdate": "1970-12-13","city": "Brugge"}
UserCreated;{"id": "18106d56-2635-400e-ab13-e36dbb316c72","firstname": "Amanda","surname": "Gonzalez","email": "amanda.gonzalez@hotmail.com","birthdate": "1966-01-11","city": "Tongeren"}
UserCreated;{"id": "0585689a-2e3b-4429-9951-2f8e98a50f9a","firstname": "Anna","surname": "Rogers","email": "anna.rogers@google.com","birthdate": "2007-11-12","city": "Charleroi"}
UserCreated;{"id": "9e843806-7a64-4362-a4ec-fa52663ed390","firstname": "William","surname": "Walker","email": "william.walker@outlook.com","birthdate": "1961-09-25","city": "Namur"}
UserCreated;{"id": "21637062-a2b9-47d2-81d6-fccf0151c382","firstname": "Kathleen","surname": "Smith","email": "kathleen.smith@hotmail.com","birthdate": "2007-12-10","city": "Kortrijk"}
UserCreated;{"id": "30f5aabb-9a60-4ad8-bd99-80b7ac6b0acf","firstname": "Matthew","surname": "Baker","email": "matthew.baker@protonmail.com","birthdate": "1983-07-22","city": "Charleroi"}
UserCreated;{"id": "7b697c57-8c31-4901-8869-7898f6749b6f","firstname": "Deborah","surname": "Davis","email": "deborah.davis@yahoo.com","birthdate": "1973-11-25","city": "Mechelen"}
UserCreated;{"id": "9ec8d61d-7cd7-4174-901a-6b7840434ca6","firstname": "Ashley","surname": "Parker","email": "ashley.parker@outlook.com","birthdate": "1956-05-13","city": "Ronse"}
UserCreated;{"id": "a86f6c98-b4e7-4da4-a051-8bb747f43b08","firstname": "Mark","surname": "White","email": "mark.white@google.com","birthdate": "1984-11-17","city": "Blankenberge"}
UserCreated;{"id": "ead5cacc-d314-4ddb-83ca-0b473ee4a1ce","firstname": "Kathleen","surname": "Evans","email": "kathleen.evans@yahoo.com","birthdate": "1974-07-29","city": "Antwerpen"}
UserCreated;{"id": "cb5b8623-373f-4a0f-b149-7518b75d1271","firstname": "Nancy","surname": "Ward","email": "nancy.ward@hotmail.com","birthdate": "1974-10-04","city": "Virton"}
